Item Name,Item Code
TAPE: BLACK,905-11600-000
TAPE: WHITE,905-12100-000
TAPE: RED,905-11550-000
TAPE: GREEN,905-10950-000
CLEAR SILICONE,905-21250-000
PVC GLUE,905-11400-000
COLD WATER CLAMP,145-11500-000
LARGE STAPLES,900-11200-000
MEDIUM STAPLES,900-11150-000
SMALL STAPLES,900-11000-000
GRN-TAP 4 BARREL LUG,145-10050-000
12/2 COPPERWELD,100-12000-000
WIRE NUTS (RED),125-21200-000
WIRE NUTS (GREEN),900-14000-000
GROUND ROD,145-10850-000
GROUND ROD CLAMP,125-12400-000
REBAR (3 FT),145-11450-000
12/3 COPPERWELD,100-11750-000
DIRECT BURIAL CLAMP,125-11550-000
POLARIS LUGS,125-23600-000
BIG NAIL PLATE,120-20550-000
"RCSD CAN 6"" (HALO)",135-11550-000
"RCSD CAN 4"" (HALO)",135-11450-000
10/2 COPPERWELD,100-11700-000
METER CAN,105-30400-000
14/2 ROMEX,100-12350-000
14/3 ROMEX,100-12450-000
12/2 ROMEX,100-12400-000
10/2 ROMEX,100-12550-000
10/3 ROMEX,100-12500-000
8/2 COPPERWELD,100-11950-000
8/3 COPPERWELD,100-11900-000
12/2 UF ROMEX,100-12100-000
14/2 UF ROMEX,100-12250-000
14/3 UF ROMEX,100-12300-000
10/2 UF ROMEX,100-12050-000
#6 SEU 2-WIRE AL-FT.,100-10600-000
#6 SER 4-WIRE AL-FT.,100-10150-000
#4 SEU 2-WIRE AL-FT.,100-10550-000
#2 SEU 2-WIRE AL-FT.,100-10500-000
#8 BARE COPPER,100-14200-000
#6 BARE COPPER,100-14150-000
#4 BARE COPPER,100-14100-000
4/O SEU 2-WIRE AL-FT.,100-10900-000
#2 SER 4-WIRE AL-FT,100-10050-000
4/O SER 4-WIRE AL-FT.,100-10400-000
6/3 ROMEX-CAR CHARGER,100-12700-000
#10 THHN BLACK FT.,100-14850-000
#10 THHN GREEN FT.,100-14900-000
#8 THHN BLACK FT.,100-14750-000
#6 THHN BLACK FT.,100-14550-000
#4 THHN BLACK FT.,100-14500-000
ARC FAULT 15A CH,105-13300-000
ARC FAULT 15A HL,105-18500-000
ARC FAULT 15A SM,105-24400-000
ARC FAULT 15A QO,105-25200-000
ARC FAULT 15A BR,105-12650-000
ARC FAULT 20A CH,105-13350-000
ARC FAULT 20A HL,105-18700-000
ARC FAULT 20A SM,105-24450-000
ARC FAULT 20A QO,105-25500-000
ARC FAULT 20A BR,105-12750-000
HANDLE TIE CH,105-15250-000
HANDLE TIE HL,105-18850-000
HANDLE TIE SM,105-16575-000
HANDLE TIE QO,105-26500-000
HANDLE TIE BR,105-33200-000
15A-120V CH,105-14300-000
15A-120V HL,105-18300-000
15A-120V SM,105-23200-000
15A-120V QO,105-25050-000
15A-120V BR,105-11300-000
20A-120V CH,105-14350-000
20A-120V HL,105-18550-000
20A-120V SM,105-23350-000
20A-120V QO,105-25300-000
20A-120V BR,105-11350-000
ARC/GFI Combo 15A CH,105-17600-000
ARC/GFI Combo 15A HL,105-18410-000
ARC/GFI Combo 15A SM,105-23300-000
ARC/GFI Combo 15A QO,105-25100-000
ARC/GFI Combo 15A BR,105-12350-000
ARC/GFI Combo 20A CH,105-17650-000
ARC/GFI Combo 20A HL,105-18750-000
ARC/GFI Combo 20A SM,105-23450-000
ARC/GFI Combo 20A QO,105-25550-000
ARC/GFI Combo 20A BR,105-12400-000
15A-240V CH,105-14400-000
15A-240V HL,105-19100-000
15A-240V SM,105-23700-000
15A-240V QO,105-26900-000
15A-240V BR,105-11600-000
20A-240V CH,105-14450-000
20A-240V HL,105-19150-000
20A-240V SM,105-23750-000
20A-240V QO,105-27050-000
20A-240V BR,105-11650-000
25A-240V CH,105-14500-000
25A-240V HL,105-19200-000
25A-240V SM,105-23950-000
25A-240V QO,105-27150-000
25A-240V BR,105-11700-000
30A-240V CH,105-14550-000
30A-240V HL,105-19250-000
30A-240V SM,105-24000-000
30A-240V QO,105-27200-000
30A-240V BR,105-11750-000
35A-240V CH,105-31250-000
35A-240V HL,105-19300-000
35A-240V SM,105-24100-000
35A-240V QO,105-27300-000
35A-240V BR,105-11800-000
40A-240V CH,105-14650-000
40A-240V HL,105-19400-000
40A-240V SM,105-24150-000
40A-240V QO,105-27350-000
40A-240V BR,105-11850-000
45A-240V CH,105-14700-000
45A-240V HL,105-19500-000
45A-240V SM,105-24200-000
45A-240V QO,105-27450-000
45A-240V BR,105-11900-000
50A-240V CH,105-14750-000
50A-240V HL,105-19550-000
50A-240V SM,105-24250-000
50A-240V QO,105-27550-000
50A-240V BR,105-11950-000
60A-240V CH,105-13800-000
60A-240V HL,105-19600-000
60A-240V SM,105-24300-000
60A-240V QO,105-27650-000
60A-240V BR,105-12000-000
70A-240V CH,105-13850-000
70A-240V HL,105-19650-000
70A-240V SM,105-24310-000
70A-240V QO,105-27800-000
70A-240V BR,105-12500-000
80A-240V CH,105-13900-000
80A-240V HL,105-19700-000
80A-240V SM,105-24340-000
80A-240V QO,105-27850-000
80A-240V BR,105-12050-000
90A-240V CH,105-13950-000
90A-240V HL,105-19750-000
90A-240V SM,105-24350-000
90A-240V QO,105-27900-000
90A-240V BR,105-12150-000
100A-240V CH,105-13450-000
100A-240V HL,105-19000-000
100A-240V SM,105-23600-000
100A-240V QO,105-26700-000
100A-240V BR,105-11500-000
PANEL Main Breaker (42) CH,105-14000-000
PANEL Main Breaker (40) HL,105-19900-000
PANEL Main Breaker (40) SM,105-23120-000
PANEL Main Breaker (42) QO,105-26150-000
PANEL Main Breaker (40) BR,105-13100-000
PANEL MAIN LUG (42) CH,105-19900-000
PANEL MAIN LUG (30) HL,105-19850-000
PANEL MAIN LUG (40) SM,105-28910-000
PANEL MAIN LUG (42) QO,105-26100-000
PANEL MAIN LUG (30) BR,105-13050-000
PANEL SMALL LUG (24) CH,105-14250-000
PANEL SMALL LUG (24) HL,105-19450-000
PANEL SMALL LUG (24) SM,105-28875-000
PANEL SMALL LUG (24) QO,105-25600-000
PANEL SMALL LUG (24) BR,
PANEL COVER MB (42) CH,105-15700-000
PANEL COVER MB (40) HL,???
PANEL COVER MB (40) SM,???
PANEL COVER MB (42) QO,105-28300-000
PANEL COVER MB (40) BR,Billing
PANEL COVER LUG (42) CH,105-15700-000
PANEL COVER LUG (30) HL,???
PANEL COVER LUG (40) SM,???
PANEL COVER LUG (42) QO,105-28300-000
PANEL COVER LUG (30) BR,Billing
PANEL COVER SMALL (24) CH,105-15650-000
PANEL COVER SMALL (24) HL,???
PANEL COVER SMALL (24) SM,???
PANEL COVER SMALL (24) QO,105-28100-000
NEUTRAL LUG,105-15400-000
X2 BARREL LUG,145-11000-000
PANEL LOCK / PADLOCK CH,105-29100-000
PANEL LOCK / PADLOCK HL,105-32050-000
PANEL LOCK / PADLOCK SM,105-31400-000
PANEL LOCK / PADLOCK QO,105-23000-000
PANEL LOCK / PADLOCK BR,
PANEL COVER SCREWS,900-14750-000
BRKR LOCK-1 POLE HL,105-18900-000
BRKR LOCK-1 POLE SM,105-16450-000
BRKR LOCK-1 POLE QO,105-26600-000
BRKR LOCK-1 POLE BR,105-12300-000
BRKR LOCK-2 POLE CH,105-15550-000
BRKR LOCK-2 POLE HL,105-19800-000
BRKR LOCK-2 POLE SM,105-16500-000
BRKR LOCK-2 POLE QO,105-30700-000
BRKR LOCK-2 POLE BR,105-33250-000
PANEL BLANK CH,105-15200-000
PANEL BLANK HL,105-20050-000
PANEL BLANK SM,105-31000-000
PANEL BLANK QO,105-28400-000
PANEL BLANK BR,
LUG CONVERSION KIT- CH,105-15600-000
200 AMP MAIN BREAKER- CH,105-16200-000
STAK IT,900-30800-000
METER MAIN BREAKER (8/16) CH,105-15900-000
METER MAIN BREAKER (8/16) HL,105-28850-000
METER MAIN BREAKER (8/16) SM,105-21800-000
METER MAIN BREAKER (8/16) QO,105-24950-000
METER MAIN BREAKER (8/16) BR,105-16000-000
METER MAIN BREAKER 20/40 BR,105-33700-000
125 DISCONNECT-4/8 CH,105-14050-000
125 DISCONNECT-4/8 HL,105-19950-000
125 DISCONNECT-4/8 SM,105-30800-000
125 DISCONNECT-4/8 QO,---
125 DISCONNECT-4/8 BR,
125 DISCONNECT-8/16 CH,105-12250-000
125 DISCONNECT-8/16 HL,105-20000-000
125 DISCONNECT-8/16 SM,105-30850-000
125 DISCONNECT-8/16 QO,---
125 DISCONNECT-8/16 BR,105-12250-000
GROUND BAR - CH,145-10200-000
GROUND BAR - HL,105-22700-000
320A METER/DISCONNECTS METER,105-10000-000
320A METER/DISCONNECTS,105-14100-000
60 A DISCONNECT,105-10950-000
"6-32X (1"")",900-15650-000
"6-32X (1 1/2"")",900-15600-000
"6-32X (2"")",900-15750-000
"8-32X (1"")",900-16800-000
"8-32X (1 1/2"")",900-16750-000
"8-32X (2"")",900-16950-000
"10-32X (1"")",900-10550-000
"10-32X (1 1/2"")",900-10350-000
"10-32X (2"")",900-10650-000
TOGGLE BOLTS,900-13200-000
PLASTIC ANCHOR,900-21000-000
CABLE TIE,900-17800-000
10-32X3/8 GRN GRD SCR,900-18950-000
"1/2"" Squeeze",125-12470-000
"1/2"" Squeeze 90",125-12300-000
"3/4"" Squeeze",125-12480-000
"3/4"" Squeeze 90",125-12350-000
BLUE WIRE NUTS,125-23700-000
GROUNDING CLIPS,125-14250-000
GROUNDING LUG,145-11350-000
MIDGET CLIPS #6,125-16450-000
APPLIANCE CORD,120-15900-000
1 GANG NAIL UP,115-10100-000
NAIL PLATES,120-21100-000
2 GANG NAIL UP BOX,115-10700-000
3 GANG NAIL UP BOX,115-10950-000
4 GANG NAIL UP BOX,115-11250-000
"4""-ROUND CEILING BOX",115-19550-000
"4""-ROUND BAR BOX",115-20150-000
FIRE PLACE BOX,115-19900-000
Fan Pancake,115-17250-000
Fan Pan Metal,115-17600-000
"PLASTIC ROMEX CONN 1/2""",125-17050-000
"PLASTIC ROMEX CONN 3/4""",125-17100-000
FAN BAR BOX,115-23450-000
OCTAGON BOX,115-20200-000
OCTAGON EXTENSION,120-14800-000
1 GANG HORIZONTAL,115-20950-000
"HANDY BOX (1-1/2'"")",115-11900-000
"HANDY BOX (1-7/8"")",115-23100-000
POCKET DOOR POP-IN,115-13600-000
POCKET DOOR NAIL-UP,115-23300-000
FLOOR RECEP BOX,115-15450-000
"BRICK BOX 2 1/2"" DEEP",115-23000-000
"4X4 BOX 1 1/2"" DEEP",115-11550-000
4X4 EXTENSION RING,115-11400-000
SQ COVER METAL,120-14600-000
SQ 4X4 METAL BOX,115-11350-000
"WP OUTLET BOXES (1/2"")",120-20200-000
"WP OUTLET BOXES (3/4"")",115-24200-000
"WP OTLT BOXES 2 GANG (1/2"")",120-12000-000
"WP OTLT BOXES 2 GANG (3/4"")",115-10550-000
WP BLANK PLATE (1-G),120-16300-000
WP BLANK PLATE (2-G),115-10650-000
Receptacle W,120-25550-000
DECOR REC BLACK,120-25350-000
DÉCOR SGL POLE SWT WHITE,120-18500-000
DÉCOR SGL POLE SWT BLACK,120-18300-000
DÉCOR SGL POLE SWT BROWN,120-18350-000
DÉCOR SGL POLE SWT GRAY,120-18400-000
DECOR 3 WAY SWT WHITE,120-17750-000
DECOR 3 WAY SWT BLACK,120-17950-000
DECOR 3 WAY SWT BROWN,120-18000-000
DECOR 3 WAY SWT GRAY,120-18050-000
DECOR 4 WAY SWT (W),120-17850-000
DECOR 4 WAY SWT (BL),120-18150-000
1 GANG DECOR PLATE (WHITE),120-10600-000
1 GANG DECOR PLATE (BLACK),120-10400-000
1 GANG DECOR PLATE GRAY,120-10500-000
2 GANG DECOR PLATE (WHITE),120-11900-000
2 GANG DECOR PLATE BLACK,120-11750-000
2 GANG DECOR PLATE GRAY,120-27600-000
3 GANG DECOR PLATE (WHITE),120-12650-000
3 GANG DECOR PLATE BLACK,120-12750-000
3 GANG DECOR PLATE GRAY,120-27650-000
4 GANG DECOR PLATE (WHITE),120-14050-000
4 GANG DECOR PLATE BLACK,120-14100-000
4 GANG DECOR PLATE GRAY,120-14200-000
DEAD FACE GFI,120-11500-000
USB REC White,120-24950-000
USB REC Black,120-25000-000
USB REC Brown,--
USB REC Gray,--
OCCUPANCY SWITCH,120-20800-000
DOOR SWITCH,120-18700-000
NIGHT LIGHT RECEPTACLE,120-20850-000
DRYER RECPT FLUSH,120-20000-000
RANGE RECEPT SURFACE,120-14850-000
DRYER RECPT COOPER,120-16600-000
RANGE RECEPT COOPER,120-16500-000
DRYER RECEPT QO,120-23400-000
RANGE RECEPT QO,120-23450-000
DRYER PLATE P&S,120-11950-000
DRYER PLATE COOPER,120-16850-000
DRYER PLATE QO,120-24050-000
LEVITON CAR CHARGER PLATE,120-30600-000
FLUSH MNT RANGE,120-20100-000
LEVITON CAR CHARGER,120-30400-000
DIMMER TOGGLE,120-15950-000
DIMMER DECOR,120-19250-000
Z WAVE SWITCH-TOGGLE,120-13850-000
Z WAVE SWITCH-DÉCOR,120-29950-000
STEP LIGHTS,120-15350-000
CABLE PLATEP&S,120-20950-000
CABLE PLATECooper,120-21050-000
CABLE PLATE W/CONN,120-20050-000
PHONE FLUSH (W),120-21050-000
1 GANG BLANK W,120-22400-000
1 GANG BLANK EATON,120-16900-000
1 GANG BLANK BK,PENDING
1 GANG BLANK BR,--
1 GANG BLANK GR,--
1 GANG BLANK QO,120-23600-000
2 GANG BLANK W,120-11700-000
2 GANG BLANK EATON,120-17000-000
2 GANG BLANK BK,--
2 GANG BLANK BR,--
2 GANG BLANK GR,--
2 GANG BLANK QO,--
3 GANG BLANK W,120-12700-000
3 GANG BLANK EATON,--
3 GANG BLANK BK,--
3 GANG BLANK BR,--
3 GANG BLANK GR,--
3 GANG BLANK QO,--
4 GANG BLANK W,120-22950-000
4 GANG BLANK EATON,--
4 GANG BLANK BK,--
4 GANG BLANK BR,--
4 GANG BLANK GR,--
4 GANG BLANK QO,--
